"Name","Version","Publisher","InstallDate","UninstallCmd"
"Microsoft .NET Host FX Resolver - 8.0.6 (x86)","64.24.15199","Microsoft Corporation","20240702","MsiExec.exe /X{080A056B-3701-46A1-A990-4928ECAA6291}"
"Microsoft .NET Host FX Resolver - 8.0.6 (x64)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{59C4A6C5-E254-4819-B254-0B4FF17747EB}"
"Microsoft .NET Host FX Resolver - 8.0.4 (x64)","64.16.12025","Microsoft Corporation","20240423","MsiExec.exe /X{2DF8788F-CE7B-4D48-AE13-00F807A959CC}"
"Microsoft .NET Host - 8.0.6 (x86)","64.24.15199","Microsoft Corporation","20240702","MsiExec.exe /X{83922B62-80C7-4B21-88AF-37B6BED973A4}"
"Microsoft .NET Host - 8.0.6 (x64)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{EAEDD1FB-8876-4FD8-98A6-3AF439887414}"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037","Microsoft Corporation","20240702","MsiExec.exe /X{1A9C3A1A-566B-4CFA-8B27-71FC623963BE}"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761","Microsoft Corporation","20240702","MsiExec.exe /X{A4EA9EE5-7CFF-4C5F-B159-B9B4E5D2BDE2}"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","20240702","MsiExec.exe /X{BAAF5851-0759-422D-A1E9-90061B597188}"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","20240702","MsiExec.exe /X{949C0535-171C-480F-9CF4-D25C9E60FE88}"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062","Microsoft Corporation","20240702","MsiExec.exe /X{B517DBD3-B542-4FC8-9957-FFB2C3E65D1D}"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","20240702","MsiExec.exe /X{1784A8CD-F7FE-47E2-A87D-1F31E7242D0D}"
"Microsoft .NET Framework 4.7.1 Targeting Pack","4.7.02558","Microsoft Corporation","20240702","MsiExec.exe /X{5686C5E9-A3B3-451E-A2EA-4C246CDE5CC9}"
"Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)","4.7.02558","Microsoft Corporation","20240702","MsiExec.exe /X{8F5A2690-2EBD-4017-B995-C522C9204312}"
"Microsoft .NET Framework 4.6 Targeting Pack","4.6.00081","Microsoft Corporation","20240702","MsiExec.exe /X{2CC6A4A7-AAC2-46C9-9DBB-3727B5954F65}"
"Microsoft .NET CoreRuntime SDK","1.1.27004.0","Microsoft Corporation","20240702","MsiExec.exe /I{12702494-9E6A-3F5E-9441-2B7D258A639B}"
"Microsoft .NET CoreRuntime For CoreCon","1.0.0.0","Microsoft Corporation","20240702","MsiExec.exe /X{48A8F171-52F2-372B-8414-EA50617708BE}"
"Microsoft .NET AppHost Pack - 8.0.6 (x64_x86)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{8A63454D-8E13-4014-821F-DFA1082EC183}"
"Microsoft .NET AppHost Pack - 8.0.6 (x64_arm64)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{854B6E23-DB23-4469-94B2-24BC3BDCA96E}"
"Microsoft .NET AppHost Pack - 8.0.6 (x64)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{976580F3-B710-4C76-8D12-EB1905833370}"
"Microsoft .NET AppHost Pack - 8.0.4 (x64_x86)","64.16.12025","Microsoft Corporation","20240423","MsiExec.exe /X{790E6FA4-6ECC-440B-B488-772999E6253D}"
"Microsoft .NET AppHost Pack - 8.0.4 (x64_arm64)","64.16.12025","Microsoft Corporation","20240423","MsiExec.exe /X{259B7E8B-F609-4D35-BF11-9F5B59106FD5}"
